,Country,Year,avg_rain,avg_temp,Pesticides (tonnes),Item,Yield (hg/ha)
0,Albania,1990,1485,16.37,121.0,Maize,36613
1,Albania,1990,1485,16.37,121.0,Potatoes,66667
2,Albania,1990,1485,16.37,121.0,"Rice, paddy",23333
3,Albania,1990,1485,16.37,121.0,Sorghum,12500
4,Albania,1990,1485,16.37,121.0,Soybeans,7000
5,Albania,1990,1485,16.37,121.0,Wheat,30197
6,Albania,1991,1485,15.36,121.0,Maize,29068
7,Albania,1991,1485,15.36,121.0,Potatoes,77818
8,Albania,1991,1485,15.36,121.0,"Rice, paddy",28538
9,Albania,1991,1485,15.36,121.0,Sorghum,6667
10,Albania,1991,1485,15.36,121.0,Soybeans,6066
11,Albania,1991,1485,15.36,121.0,Wheat,20698
12,Albania,1992,1485,16.06,121.0,Maize,24876
13,Albania,1992,1485,16.06,121.0,Potatoes,82920
14,Albania,1992,1485,16.06,121.0,"Rice, paddy",40000
15,Albania,1992,1485,16.06,121.0,Sorghum,3747
16,Albania,1992,1485,16.06,121.0,Soybeans,4507
17,Albania,1992,1485,16.06,121.0,Wheat,24388
18,Albania,1993,1485,16.05,121.0,Maize,24185
19,Albania,1993,1485,16.05,121.0,Potatoes,98446
20,Albania,1993,1485,16.05,121.0,"Rice, paddy",41786
21,Albania,1993,1485,16.05,121.0,Soybeans,7998
22,Albania,1993,1485,16.05,121.0,Wheat,29976
23,Albania,1994,1485,16.96,201.0,Maize,25848
24,Albania,1994,1485,16.96,201.0,Potatoes,81404
25,Albania,1994,1485,16.96,201.0,Soybeans,7927
26,Albania,1994,1485,16.96,201.0,Wheat,24745
27,Albania,1995,1485,15.67,251.0,Maize,31300
28,Albania,1995,1485,15.67,251.0,Potatoes,111323
29,Albania,1995,1485,15.67,251.0,Soybeans,11791
30,Albania,1995,1485,15.67,251.0,Wheat,28703
31,Albania,1996,1485,15.64,313.96,Maize,32604
32,Albania,1996,1485,15.64,313.96,Potatoes,106138
33,Albania,1996,1485,15.64,313.96,Soybeans,15480
34,Albania,1996,1485,15.64,313.96,Wheat,21741
35,Albania,1997,1485,15.9,376.93,Maize,31862
36,Albania,1997,1485,15.9,376.93,Potatoes,109874
37,Albania,1997,1485,15.9,376.93,Soybeans,12768
38,Albania,1997,1485,15.9,376.93,Wheat,28516
39,Albania,1998,1485,16.27,439.89,Maize,33416
40,Albania,1998,1485,16.27,439.89,Potatoes,127212
41,Albania,1998,1485,16.27,439.89,Soybeans,14327
42,Albania,1998,1485,16.27,439.89,Wheat,28037
43,Albania,1999,1485,16.57,502.86,Maize,37455
44,Albania,1999,1485,16.57,502.86,Potatoes,142018
45,Albania,1999,1485,16.57,502.86,Soybeans,17143
46,Albania,1999,1485,16.57,502.86,Wheat,24954
47,Albania,2000,1485,16.67,565.82,Maize,38811
48,Albania,2000,1485,16.67,565.82,Potatoes,141228
49,Albania,2000,1485,16.67,565.82,Soybeans,15000
50,Albania,2000,1485,16.67,565.82,Wheat,30455
51,Albania,2001,1485,16.59,628.79,Maize,38135
52,Albania,2001,1485,16.59,628.79,Potatoes,148818
53,Albania,2001,1485,16.59,628.79,Soybeans,20000
54,Albania,2001,1485,16.59,628.79,Wheat,28220
55,Albania,2002,1485,16.47,691.75,Maize,39460
56,Albania,2002,1485,16.47,691.75,Potatoes,153868
57,Albania,2002,1485,16.47,691.75,Soybeans,20000
58,Albania,2002,1485,16.47,691.75,Wheat,31617
59,Albania,2004,1485,16.16,817.68,Maize,46197
60,Albania,2004,1485,16.16,817.68,Potatoes,149346
61,Albania,2004,1485,16.16,817.68,Soybeans,13333
62,Albania,2004,1485,16.16,817.68,Wheat,31130
63,Albania,2005,1485,15.67,880.64,Maize,45442
64,Albania,2005,1485,15.67,880.64,Potatoes,167061
65,Albania,2005,1485,15.67,880.64,Soybeans,17500
66,Albania,2005,1485,15.67,880.64,Wheat,31582
67,Albania,2006,1485,15.92,943.61,Maize,50111
68,Albania,2006,1485,15.92,943.61,Potatoes,170745
69,Albania,2006,1485,15.92,943.61,Soybeans,20000
70,Albania,2006,1485,15.92,943.61,Wheat,30787
71,Albania,2007,1485,16.67,1006.57,Maize,46732
72,Albania,2007,1485,16.67,1006.57,Potatoes,188902
73,Albania,2007,1485,16.67,1006.57,Soybeans,20000
74,Albania,2007,1485,16.67,1006.57,Wheat,35496
75,Albania,2008,1485,16.71,1069.54,Maize,50000
76,Albania,2008,1485,16.71,1069.54,Potatoes,193878
77,Albania,2008,1485,16.71,1069.54,Soybeans,20000
78,Albania,2008,1485,16.71,1069.54,Wheat,40168
79,Albania,2009,1485,16.73,1132.5,Maize,55693
80,Albania,2009,1485,16.73,1132.5,Potatoes,219780
81,Albania,2009,1485,16.73,1132.5,Soybeans,16667
82,Albania,2009,1485,16.73,1132.5,Wheat,40229
83,Albania,2010,1485,16.52,1311.17,Maize,66790
84,Albania,2010,1485,16.52,1311.17,Potatoes,231111
85,Albania,2010,1485,16.52,1311.17,Soybeans,16667
86,Albania,2010,1485,16.52,1311.17,Wheat,39905
87,Albania,2011,1485,16.45,1302.63,Maize,59869
88,Albania,2011,1485,16.45,1302.63,Potatoes,242211
89,Albania,2011,1485,16.45,1302.63,Soybeans,18519
90,Albania,2011,1485,16.45,1302.63,Wheat,42301
91,Albania,2012,1485,16.7,766.25,Maize,67290
92,Albania,2012,1485,16.7,766.25,Potatoes,250538
93,Albania,2012,1485,16.7,766.25,Soybeans,13333
94,Albania,2012,1485,16.7,766.25,Wheat,41096
95,Albania,2013,1485,17.41,982.32,Maize,69533
96,Albania,2013,1485,17.41,982.32,Potatoes,260110
97,Albania,2013,1485,17.41,982.32,Soybeans,10000
98,Albania,2013,1485,17.41,982.32,Wheat,41292
99,Algeria,1990,89,17.48,1828.92,Maize,16500
100,Algeria,1990,89,17.48,1828.92,Potatoes,78936
101,Algeria,1990,89,17.48,1828.92,"Rice, paddy",28000
102,Algeria,1990,89,17.48,1828.92,Sorghum,16571
103,Algeria,1990,89,17.48,1828.92,Wheat,6315
104,Algeria,1991,89,16.26,2461.8,Maize,19231
105,Algeria,1991,89,16.26,2461.8,Potatoes,90747
106,Algeria,1991,89,16.26,2461.8,"Rice, paddy",26786
107,Algeria,1991,89,16.26,2461.8,Sorghum,24231
108,Algeria,1991,89,16.26,2461.8,Wheat,10809
109,Algeria,1992,89,16.27,1215.47,Maize,22828
110,Algeria,1992,89,16.27,1215.47,Potatoes,107917
111,Algeria,1992,89,16.27,1215.47,"Rice, paddy",24733
112,Algeria,1992,89,16.27,1215.47,Sorghum,40000
113,Algeria,1992,89,16.27,1215.47,Wheat,9939
114,Algeria,1993,89,17.0,1021.89,Maize,12500
115,Algeria,1993,89,17.0,1021.89,Potatoes,111215
116,Algeria,1993,89,17.0,1021.89,"Rice, paddy",23111
117,Algeria,1993,89,17.0,1021.89,Sorghum,50000
118,Algeria,1993,89,17.0,1021.89,Wheat,8097
119,Algeria,1994,89,17.88,1255.02,Maize,4512
120,Algeria,1994,89,17.88,1255.02,Potatoes,95078
121,Algeria,1994,89,17.88,1255.02,"Rice, paddy",21374
122,Algeria,1994,89,17.88,1255.02,Wheat,7999
123,Algeria,1995,89,17.36,2697.09,Maize,16115
124,Algeria,1995,89,17.36,2697.09,Potatoes,136768
125,Algeria,1995,89,17.36,2697.09,"Rice, paddy",19598
126,Algeria,1995,89,17.36,2697.09,Sorghum,12667
127,Algeria,1995,89,17.36,2697.09,Wheat,8924
128,Algeria,1996,89,16.76,479.77,Maize,17154
129,Algeria,1996,89,16.76,479.77,Potatoes,134629
130,Algeria,1996,89,16.76,479.77,"Rice, paddy",17861
131,Algeria,1996,89,16.76,479.77,Sorghum,14750
132,Algeria,1996,89,16.76,479.77,Wheat,13090
133,Algeria,1997,89,17.84,401.22,Maize,21417
134,Algeria,1997,89,17.84,401.22,Potatoes,141042
135,Algeria,1997,89,17.84,401.22,"Rice, paddy",15000
136,Algeria,1997,89,17.84,401.22,Sorghum,40000
137,Algeria,1997,89,17.84,401.22,Wheat,8016
138,Algeria,1998,89,17.14,322.84,Maize,17222
139,Algeria,1998,89,17.14,322.84,Potatoes,160256
140,Algeria,1998,89,17.14,322.84,"Rice, paddy",15000
141,Algeria,1998,89,17.14,322.84,Sorghum,24500
142,Algeria,1998,89,17.14,322.84,Wheat,8847
143,Algeria,1999,89,17.97,654.45,Maize,22375
144,Algeria,1999,89,17.97,654.45,Potatoes,153532
145,Algeria,1999,89,17.97,654.45,"Rice, paddy",13942
146,Algeria,1999,89,17.97,654.45,Sorghum,27000
147,Algeria,1999,89,17.97,654.45,Wheat,10711
148,Algeria,2000,89,17.9,603.67,Maize,36186
149,Algeria,2000,89,17.9,603.67,Potatoes,166143
150,Algeria,2000,89,17.9,603.67,"Rice, paddy",13052
151,Algeria,2000,89,17.9,603.67,Sorghum,69500
152,Algeria,2000,89,17.9,603.67,Wheat,9194
153,Algeria,2001,89,18.13,710.11,Maize,27175
154,Algeria,2001,89,18.13,710.11,Potatoes,147018
155,Algeria,2001,89,18.13,710.11,"Rice, paddy",12314
156,Algeria,2001,89,18.13,710.11,Sorghum,27750
157,Algeria,2001,89,18.13,710.11,Wheat,11104
158,Algeria,2002,89,17.85,816.55,Maize,33480
159,Algeria,2002,89,17.85,816.55,Potatoes,183774
160,Algeria,2002,89,17.85,816.55,"Rice, paddy",12959
161,Algeria,2002,89,17.85,816.55,Sorghum,33900
162,Algeria,2002,89,17.85,816.55,Wheat,10739
163,Algeria,2004,89,17.38,3747.86,Maize,31729
164,Algeria,2004,89,17.38,3747.86,Potatoes,203585
165,Algeria,2004,89,17.38,3747.86,"Rice, paddy",12829
166,Algeria,2004,89,17.38,3747.86,Sorghum,43316
167,Algeria,2004,89,17.38,3747.86,Wheat,13582
168,Algeria,2005,89,17.19,3662.87,Maize,33864
